query	idx
그로스	[67]
머신러닝	[2]
시공	[166]
토지	[168]
1인	[168, 178]
A/B TEST	[15]
AD	[102]
AI	[3, 20, 22, 35]
AMC	[170]
AWS	[23, 25]
Agile	[97, 109]
Airbnb	[193]
Andy Kim	[139, 173]
Apache Kafka	[14]
B2B	[45]
Belfort	[193]
Bruce	[129]
Bryan Kwon	[185]
CAIA	[156, 161]
CEO	[4, 45]
CFA	[140, 145, 156, 161]
CFO	[141]
CNN	[30]
CRM	[2, 38, 81, 98]
CTO	[5]
CV	[17, 18, 30]
Cloud	[21]
Computer Vision	[17, 18, 30]
Consultant	[58]
DA	[1]
DB	[10]
DFC	[133]
Daniel	[185]
Data	[75]
David	[2, 147, 156, 159]
Derek	[129]
Eddie Lee	[129]
Elastic Stack	[19]
Figma	[101, 112]
GA4	[63]
GCP	[25]
GPT	[3]
GTM	[44]
Genie	[184]
HR	[40, 52]
HR 강의	[47, 48, 53, 68, 83]
HRD	[80]
HTS	[150, 152]
IB	[165, 185]
IDC	[170]
James	[6, 11, 170, 177, 188]
James Lee	[4]
Jeus	[6]
Julia	[9]
KPI	[93]
Kevin	[152]
Klaus Wehage	[55]
LLM	[3, 5, 8]
LangChain	[3, 5]
Lead	[96]
Leader	[96]
Leo Kim	[185]
Liam	[165]
Logical	[42]
M&A	[119, 125]
MBB	[58]
MLOps	[23]
MVP	[39]
Maketer	[50, 65]
Marketer	[71, 78, 79, 98]
Marketing	[50, 61, 65, 71, 78, 79, 81, 90, 94, 98, 102]
Matthew	[169]
Multimodal	[17]
NFT	[84]
NLP	[3, 34]
NPL	[176, 180, 187]
Onboarding	[59]
OpenAI API	[3]
OpenAPI	[154]
PA	[15]
PE	[129]
PEF	[127]
PF	[121, 165, 175, 178, 185]
PIC	[39]
PM	[1, 15, 39, 41, 66, 67, 73, 74, 76, 82, 95, 180]
PMF	[41]
PO	[1, 15, 39, 41, 54, 67, 73, 74, 76, 82, 95]
PPT	[42, 106, 108]
Peter	[130]
Photoshop	[86, 101, 112]
Product	[1]
Python	[16, 36, 37]
R	[32]
RCPS	[133, 149]
RM	[158]
Retention	[49]
SI	[129]
SNS	[90]
SQL	[13, 28, 155]
Simon	[171]
SmartStore	[107]
Tensorflow	[26]
Tim KICPA	[133, 143, 149]
Transformer	[24, 29]
UI	[86]
UX	[49, 72, 86]
Web3	[77, 84, 88]
Y2G	[121]
bain	[42]
iB	[171]
jay	[167]
martinee	[38]
taxonomy	[38]
가격 전략	[46]
가상화폐	[135, 155, 161]
가설 검증	[39]
강봉주	[137]
강주란	[73]
강환국	[140, 145, 156, 161]
개미	[116]
개발	[154, 155, 178]
개발 사업	[165, 185, 189]
개발자	[40]
